2022 Feb 13 12:00:00                                      stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=terminal width 32767
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=configure terminal
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=interface Management0
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=no ip address
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=no ipv6 address
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=ip address 172.20.20.3/24
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=ipv6 address 2001:172:20:20::3/64
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=write
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=end
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=exit
2022 Feb 13 12:01:36 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.0.0.4 activate
2022 Feb 13 12:01:36 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=neighbor 10.1.0.18 activate
2022 Feb 13 12:01:36 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show session-config diffs
2022 Feb 13 12:01:36 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=commit
2022 Feb 13 12:04:52 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=configure terminal
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip routing
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip multicast-routing
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Loopback0
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mpls ip
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mpls ldp
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=router-id interface Loopback0
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Loopback0
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=exit
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=exit
2022 Feb 13 12:04:53 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=write
2022 Feb 13 12:05:00 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=exit
